frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
238,61.8094,61.362176,49.99986,225.85513,122.03413,2073600,0.35410002,38.056206,397.8891,0.09564526
239,69.0803,68.743072,50.0,225.85953,122.03666,2073600,0.35410032,38.055923,397.89618,0.09564284
240,59.8327,59.478016,49.999985,225.86458,122.038475,2073600,0.35410064,38.056194,397.90305,0.09564188
241,59.458,59.092992,49.999496,225.86664,122.0416,2073600,0.35410088,38.05607,397.90775,0.095640436
242,61.279,60.9616,49.999626,225.86603,122.04599,2073600,0.3541012,38.05548,397.91165,0.09563802
243,60.6256,60.264064,49.99961,225.86516,122.048004,2073600,0.35410154,38.055206,397.91278,0.09563705
244,59.5049,59.176768,49.99981,225.85942,122.04901,2073600,0.35410184,38.054775,397.90823,0.09563705
245,62.9849,62.613504,49.999825,225.85854,122.05166,2073600,0.35410213,38.054176,397.91003,0.09563513
246,59.4481,59.119168,49.999813,225.85963,122.051216,2073600,0.35410246,38.05366,397.91064,0.09563368
247,60.8732,60.534784,49.99975,225.85947,122.05327,2073600,0.35410273,38.05345,397.91248,0.09563272
248,59.7101,59.295744,49.999645,225.85637,122.05309,2073600,0.35410303,38.053513,397.90912,0.09563368
249,61.9346,61.5424,49.999573,225.86389,122.05967,2073600,0.35410336,38.053123,397.92313,0.09562934
250,59.7353,59.339968,49.99989,225.86809,122.062386,2073600,0.35410365,38.05305,397.93036,0.09562741
251,62.355,61.939712,49.99962,225.87778,122.071724,2073600,0.35410395,38.05273,397.9491,0.09562211
252,60.7328,60.309504,49.999577,225.87746,122.07682,2073600,0.35410428,38.052227,397.95386,0.09561969
253,62.041,61.648896,49.99941,225.87115,122.074135,2073600,0.35410458,38.051926,397.9447,0.09562114
254,60.1612,59.83408,49.99945,225.87762,122.086,2073600,0.35410488,38.05119,397.96307,0.09561487
255,60.8738,60.5384,49.999935,225.87808,122.09075,2073600,0.35410517,38.050774,397.96878,0.09561246
256,61.1056,60.782144,49.999798,225.87492,122.090195,2073600,0.35410547,38.0506,397.9649,0.09561294
257,61.1221,60.66064,49.99992,225.88101,122.094925,2073600,0.35410577,38.05049,397.97583,0.09561005
258,60.4269,60.098112,49.999737,225.88203,122.09814,2073600,0.3541061,38.050495,397.97992,0.095609084
259,61.5897,61.228864,49.99947,225.88081,122.09943,2073600,0.3541064,38.050285,397.9797,0.09560861
